Date,Close,MA_15,MA_60,Lag_1,Lag_2,Lag_7,Volatility_30,Pct_Change
2015-03-30,1198.5,1179.6066650390626,1226.409999593099,1199.800048828125,1213.699951171875,1171.5999755859375,21.958200824065536,-0.001083554571776224
2015-03-31,1190.0999755859375,1181.053328450521,1226.3366658528646,1198.5,1199.800048828125,1185.4000244140625,20.66312255228448,-0.007008781321704238
2015-04-01,1208.199951171875,1184.1333251953124,1226.358331298828,1190.0999755859375,1198.5,1188.0,20.609160905659607,0.015208785780393086
2015-04-02,1205.699951171875,1187.1466552734375,1226.1199971516928,1208.199951171875,1190.0999755859375,1193.0,20.12326850637909,-0.002069193925703372
2015-04-06,1224.199951171875,1191.4799886067708,1226.203330485026,1205.699951171875,1208.199951171875,1199.199951171875,20.610418524491408,0.015343784315508202
2015-04-07,1214.800048828125,1194.9799886067708,1226.1883321126302,1224.199951171875,1205.699951171875,1213.699951171875,20.91495710662764,-0.0076784044426336795
2015-04-08,1211.4000244140625,1198.52666015625,1226.0416666666667,1214.800048828125,1224.199951171875,1199.800048828125,21.096797283115166,-0.0027988346043799073
2015-04-09,1202.5,1200.4066569010417,1225.5099995930989,1211.4000244140625,1214.800048828125,1198.5,21.06235924146334,-0.007346891394002797
2015-04-10,1209.5999755859375,1202.939990234375,1225.014998372396,1202.5,1211.4000244140625,1190.0999755859375,20.737183067210694,0.005904345601611238
2015-04-13,1208.0999755859375,1204.4533203125,1224.4199971516928,1209.5999755859375,1202.5,1208.199951171875,20.41310412317018,-0.0012400793901086171
2015-04-14,1200.5999755859375,1205.293318684896,1223.3466634114584,1208.0999755859375,1209.5999755859375,1205.699951171875,19.68463338636714,-0.006208095481801901
2015-04-15,1203.0999755859375,1205.966650390625,1222.0699971516926,1200.5999755859375,1208.0999755859375,1224.199951171875,19.440186419577845,0.002082292229582894
2015-04-16,1208.5,1206.5866536458334,1220.5899963378906,1203.0999755859375,1200.5999755859375,1214.800048828125,19.48512655971721,0.004488425337580537
2015-04-17,1206.0,1206.0733235677083,1218.9649963378906,1208.5,1203.0999755859375,1211.4000244140625,19.499791251411544,-0.0020686801820438694
2015-04-20,1206.9000244140625,1206.5466552734374,1217.378330485026,1206.0,1208.5,1202.5,19.681553759621767,0.0007462889005493967
2015-04-21,1202.9000244140625,1206.839990234375,1215.763330078125,1206.9000244140625,1206.0,1209.5999755859375,19.46947148323739,-0.003314276177881381
2015-04-22,1202.5999755859375,1207.6733235677084,1214.2966634114584,1202.9000244140625,1206.9000244140625,1208.0999755859375,18.960472977576497,-0.0002494378768269634
2015-04-23,1197.0,1206.92666015625,1212.718330891927,1202.5999755859375,1202.9000244140625,1200.5999755859375,17.950334140101422,-0.004656557209066214
2015-04-24,1194.699951171875,1206.1933268229166,1211.183329264323,1197.0,1202.5999755859375,1203.0999755859375,16.690717087401207,-0.0019215111346073677
